Scale	mean_F	mean_P	sd_F	sd_P	n_F	n_P	pooled_sd	cohen_d	eff_FmP	p_mw	fdr	neglog10_fdr
MONM990201	1.4058187052473659	1.520546148241758	0.4022382100543003	0.41480383410964217	17	48	0.4116489030150437	-0.2787021710833986	-0.11472744299439208	0.33564572607054427	0.4601458951393176	0.33710444786603283
PALJ810108	0.9613006510430729	0.9755309983756347	0.09023284091270095	0.07249506617236202	17	48	0.07738602231931839	-0.18388782503696888	-0.014230347332561788	0.33564572607054427	0.4601458951393176	0.33710444786603283
TANS770102	1.0134974599373325	0.9542404972318551	0.1870131169673671	0.10883110590950916	17	48	0.13311054878829826	0.44517104951404646	0.05925696270547742	0.33564572607054427	0.4601458951393176	0.33710444786603283
AURR980104	0.9969633289977219	1.0135125911719933	0.05576586178780381	0.0498566102826236	17	48	0.05142174454080272	-0.32183393080216754	-0.01654926217427144	0.3431920070808773	0.4669801688389052	0.33070156214631763
AURR980106	0.9426372624137107	0.9493780850138985	0.07091213582398725	0.06598827433462554	17	48	0.06727292865137972	-0.10020111708113623	-0.0067408226001878235	0.3431920070808773	0.4669801688389052	0.33070156214631763
CHOP780206	1.0125854494144522	1.0397777116587077	0.08204465916693325	0.07192287889531425	17	48	0.07462366336776675	-0.3643919504493405	-0.027192262244255527	0.3431920070808773	0.4669801688389052	0.33070156214631763
CRAJ730103	1.007527429361946	1.0328265731084507	0.11635562860047771	0.08790549660150733	17	48	0.09593357527946962	-0.26371521829353556	-0.02529914374650466	0.35084581849874297	0.47621008118812014	0.3222014149831574
LEVM760105	1.419528190848379	1.3892254208678172	0.09819306968918333	0.10317650523747965	17	48	0.10193395394495439	0.2972784710865398	0.030302769980561806	0.3586069630654278	0.48314780491819953	0.31591998924700937
MUNV940104	0.8549068761613907	0.8775858152224655	0.06619466639150715	0.06931391187989298	17	48	0.06853517294215797	-0.33090948906213813	-0.022678939061074765	0.3586069630654278	0.48314780491819953	0.31591998924700937
QIAN880118	0.07620961519663272	0.05050387021001868	0.06835736369642714	0.04047848089455649	17	48	0.04908261827830116	0.5237239961580908	0.025705744986614036	0.3586069630654278	0.48314780491819953	0.31591998924700937
ROBB760107	-0.03331954831607925	0.16466031117481217	0.7102537506203126	0.5587232046900937	17	48	0.6008384665113854	-0.32950596628809525	-0.19797985949089142	0.3664699557325329	0.49012696906908687	0.3096913999243385
TANS770105	1.031276542085007	1.0587394331350806	0.17139846743126477	0.11596528971809617	17	48	0.1322631173868831	-0.20763831665740834	-0.0274628910500736	0.3664751925946189	0.49012696906908687	0.3096913999243385
TANS770108	0.967490089464003	0.9459351425120278	0.2253760122041894	0.1680387844849541	17	48	0.18429833066958407	0.11695682144088178	0.02155494695197513	0.3664751925946189	0.49012696906908687	0.3096913999243385
